ID,X100_T1,X103_T1,X105_T1,X106_T1,X113_T1,X114_T1,X118_T1,X121_T1,X124_T1,X12_T1,X13_T1,X15_T1,X17_T1,X20_T1,X22_T1,X23_T1,X26_T1,X33_T1,X36_T1,X39_T1,X404_T1,X409_T1,X40_T1,X410_T1,X412_T1,X414_T1,X419_T1,X41_T1,X422_T1,X425_T1,X427_T1,X42_T1,X431_T1,X432_T1,X433_T1,X434_T1,X437_T1,X438_T1,X43_T1,X440_T1,X441_T1,X443_T1,X44_T1,X46_T1,X48_T1,X50_T1,X51_T1,X52_T1,X53_T1,X54_T1,X55_T1,X57_T1,X65_T1,X67_T1,X68_T1,X700_T1,X701_T1,X707_T1,X708_T1,X709_T1,X710_T1,X711_T1,X714_T1,X715_T1,X716_T1,X719_T1,X71_T1,X721_T1,X722_T1,X725_T1,X726_T1,X728_T1,X72_T1,X730_T1,X731_T1,X732_T1,X737_T1,X73_T1,X740_T1,X750_T1,X754_T1,X757_T1,X75_T1,X766_T1,X768_T1,X769_T1,X77_T1,X79_T1,X7_T1,X80_T1,X81_T1,X85_T1,X86_T1,X87_T1,X97_T1,X98_T1
LOC729737,-0.010767355,0.056872276,0.029972371,-0.008989869,0.144844338,-0.010756728,0.005846471,-0.010091542,-0.018254844,0.197431561,0.025422054,0.070634876,0.191186545,0.026205661,-0.018326549,0.087409619,0.025658643,0.165280714,0.077316662,-0.056729761,0.020053983,0.047865431,0.174348785,0.01458039,0.02795692,0.008795224,0.009096284,0.169704946,0.060871592,0.068133852,0.069723015,0.08482308,0.067800226,0.0329745,0.051719938,0.034445999,0.026316177,-0.007742022,-0.01543078,0.026903001,0.019621061,0.160966548,0.041294875,0.029967575,-0.012055142,0.072963868,0.063309605,0.123399766,-0.002936743,0.005006357,0.081395425,0.029332418,0.022595214,0.060095964,0.004570586,0.092536447,0.185897389,0.045754393,0.019269717,0.208217428,0.031156506,0.034456809,0.052192682,0.000933514,-0.040048742,0.015832428,0.02944486,-0.018339101,-0.017552712,0.000752531,-0.011587775,0.018992066,0.045679066,0.062236034,0.075090378,-0.017151316,0.023662326,0.023241116,-0.000717969,0.003249172,0.079430668,0.013620203,0.123737849,0.04163431,0.00964935,-0.005527274,0.017142228,0.131350032,0.167602561,-0.043027176,0.036597645,0.071987482,-0.005737916,0.002288966,0.050665317,-0.005357853
LOC100133331,-0.196504101,-0.15376829,-0.160346144,-0.159847673,-0.170174566,-0.1464928,-0.205015717,-0.127608128,-0.190064612,-0.131633727,-0.132476713,-0.112709527,-0.12659135,-0.147798853,-0.114277142,-0.147486812,-0.181548993,-0.146984007,-0.157070181,-0.132665396,-0.141276109,-0.183197078,-0.143170779,-0.150817913,-0.104669766,-0.129659511,-0.170270834,-0.125118207,-0.108872816,-0.124465604,-0.185267302,-0.126759124,-0.130914759,-0.147174561,-0.137713351,-0.121776762,-0.179881994,-0.178310997,-0.151645179,-0.139993937,-0.135275419,-0.144870707,-0.158070205,-0.153050004,-0.13487375,-0.147103063,-0.139512126,-0.17047886,-0.136042382,-0.178794439,-0.166503366,-0.125393512,-0.169376707,-0.13906476,-0.156943785,-0.137631693,-0.165966335,-0.120481358,-0.155086758,-0.130194584,-0.139335993,-0.126228303,-0.133502498,-0.121367753,-0.132912336,-0.123367528,-0.175289534,-0.140220591,-0.1559637,-0.131958734,-0.199523813,-0.138330965,-0.154413048,-0.158279861,-0.120913497,-0.153528094,-0.158806148,-0.162651518,-0.111060416,-0.120122147,-0.109582058,-0.122525899,-0.15409325,-0.123285027,-0.135506442,-0.126547469,-0.105902742,-0.134087857,-0.14848466,-0.140498259,-0.149770202,-0.151502768,-0.158548765,-0.162642127,-0.125448164,-0.173882716
CLRN1,-0.212756066,-0.164361097,-0.170541778,-0.16374357,-0.180192148,-0.151625109,-0.215244107,-0.136618985,-0.197630547,-0.124753214,-0.131685637,-0.119592471,-0.1328114,-0.147798853,-0.117771701,-0.156649877,-0.173598002,-0.153570607,-0.166453996,-0.135217854,-0.153309747,-0.190661652,-0.15529952,-0.160090569,-0.108300328,-0.135062623,-0.169404027,-0.130783436,-0.116895245,-0.135173505,-0.190733196,-0.129381551,-0.144013575,-0.158768312,-0.149498594,-0.130046064,-0.191909257,-0.172443359,-0.154617129,-0.138672585,-0.139236706,-0.150605155,-0.175892235,-0.166562516,-0.14218249,-0.153077731,-0.145481652,-0.175846506,-0.139178621,-0.196127323,-0.170616731,-0.130192987,-0.1795937,-0.140215609,-0.171997552,-0.141941164,-0.174379185,-0.126754405,-0.161716282,-0.128765098,-0.149311618,-0.131831837,-0.138776536,-0.130990088,-0.143664962,-0.131144062,-0.18175313,-0.147210853,-0.192387644,-0.137221422,-0.205874458,-0.14662792,-0.161182593,-0.164150739,-0.125786088,-0.159336734,-0.174792122,-0.171075077,-0.117453648,-0.123883467,-0.114112323,-0.12877415,-0.157977189,-0.130587729,-0.142164965,-0.133476562,-0.112427158,-0.141387048,-0.152012138,-0.14583914,-0.156155628,-0.16172889,-0.15785338,-0.169957619,-0.132071901,-0.190735202
ALOX15B,-0.211429375,-0.165055707,-0.167143234,-0.163960009,-0.181067471,-0.04641277,-0.206064783,-0.13192583,-0.195739063,-0.119577048,-0.095849895,-0.115462705,-0.132033894,-0.121451764,-0.116174188,-0.152068345,-0.089389783,-0.151923957,-0.164994291,-0.135217854,-0.153309747,-0.190661652,-0.153127208,-0.15879671,-0.108152142,-0.134792467,-0.167670413,-0.130436585,-0.116895245,-0.134316873,-0.190733196,-0.131288771,-0.142673923,-0.158025123,-0.147566587,-0.129152085,-0.173405775,-0.115233889,-0.118953723,-0.122308147,-0.120039699,-0.13340181,-0.177704644,-0.165365205,-0.140752519,-0.151882797,-0.143349678,-0.17198851,-0.12109913,-0.186377576,-0.168285824,-0.130421534,-0.17798049,-0.130880949,-0.159766367,-0.112481338,-0.171427308,-0.125462896,-0.150446092,-0.093328892,-0.147860618,-0.129105793,-0.137427364,-0.129874455,-0.137311138,-0.125441271,-0.18191472,-0.140041354,-0.185507566,-0.129899421,-0.135909724,-0.142160329,-0.160010941,-0.161000512,-0.121227858,-0.1600102,-0.174792122,-0.16571463,-0.116151323,-0.121949074,-0.113105597,-0.124827887,-0.157329866,-0.126206108,-0.14083326,-0.128100542,-0.11279473,-0.140965941,-0.149870455,-0.124586883,-0.153341711,-0.160904203,-0.141946448,-0.164637261,-0.130773129,-0.179226187
NUPR1,-0.197499119,-0.156720384,-0.167666087,-0.158981918,-0.170952631,-0.152840656,-0.204491184,-0.13192583,-0.193217085,-0.127341297,-0.132397605,-0.119592471,-0.133033545,-0.151684574,-0.117372323,-0.156649877,-0.182994627,-0.15117548,-0.16249194,-0.136175026,-0.153177509,-0.189813405,-0.152222078,-0.160521855,-0.108670794,-0.1351977,-0.163769782,-0.128817948,-0.109764197,-0.134459645,-0.185013074,-0.130692765,-0.142673923,-0.145688183,-0.14563458,-0.127140633,-0.187167739,-0.178881461,-0.152305612,-0.142128429,-0.142486992,-0.150311081,-0.16773639,-0.162286405,-0.134555979,-0.150687863,-0.145765915,-0.176349723,-0.138625167,-0.19540512,-0.169108497,-0.125736332,-0.178518227,-0.134653174,-0.161334467,-0.13650134,-0.175559935,-0.11808284,-0.157904306,-0.132827848,-0.135164368,-0.120321876,-0.134483715,-0.12903773,-0.14048805,-0.12673736,-0.174966354,-0.146314666,-0.188340539,-0.135619735,-0.202537678,-0.145351466,-0.160661859,-0.161859665,-0.124843006,-0.154201559,-0.159034519,-0.171075077,-0.116388109,-0.122164007,-0.113860641,-0.108220693,-0.155387896,-0.124623856,-0.139168629,-0.128697878,-0.103972985,-0.134228226,-0.154531765,-0.144170115,-0.156155628,-0.16172889,-0.161243381,-0.164304739,-0.131032884,-0.190735202
SERPINC1,-0.212756066,-0.164882055,-0.169757499,-0.165691519,-0.179803116,-0.154326325,-0.21498184,-0.13830852,-0.196369557,-0.13453743,-0.137776922,-0.119936618,-0.13569928,-0.151115932,-0.117671856,-0.156773703,-0.187090592,-0.152373044,-0.166036937,-0.13569644,-0.153441985,-0.191000951,-0.15529952,-0.160306212,-0.109411725,-0.136683556,-0.174728698,-0.131245904,-0.117149925,-0.132746381,-0.191877221,-0.13212318,-0.144013575,-0.157876485,-0.14833939,-0.128481601,-0.191446669,-0.18214126,-0.157093755,-0.143348139,-0.142690135,-0.152884231,-0.176496371,-0.168444005,-0.14218249,-0.153077731,-0.143633942,-0.175511028,-0.139639832,-0.193238509,-0.171850741,-0.130192987,-0.17798049,-0.143668154,-0.171370312,-0.143777988,-0.177035874,-0.127123408,-0.162213496,-0.135009695,-0.146772368,-0.130317368,-0.138653884,-0.130432271,-0.143664962,-0.130884844,-0.18191472,-0.146493903,-0.194006486,-0.13607736,-0.207489028,-0.145351466,-0.161833511,-0.165153084,-0.124685825,-0.1600102,-0.174563751,-0.16992641,-0.117453648,-0.123883467,-0.113986482,-0.12877415,-0.160178088,-0.12997917,-0.141499112,-0.132998694,-0.112243371,-0.142931108,-0.155539616,-0.145060262,-0.155506262,-0.162718515,-0.161677997,-0.167962485,-0.131812147,-0.190735202
IRS2,0.211453394,0.033776484,0.23048652,0.080399333,0.214870152,1.041096539,0.112588897,0.135020792,0.380217719,0.604328711,0.396674014,0.167426267,0.18618829,1.054121212,0.139527653,0.925953966,1.296010106,0.285635861,0.068975493,0.244779374,0.319175843,0.386485671,0.398639971,0.306992514,0.27016733,0.346894932,0.359533938,0.178491833,0.098564274,0.303422141,0.331958819,0.181614487,0.327246082,0.057351106,0.139143256,0.166307844,1.019143602,1.340021808,0.840408412,0.640721885,0.485935643,0.904018745,0.262106805,0.143883189,0.100277014,0.359548768,0.414232418,0.694718602,0.822539605,0.521381874,0.397438962,0.073099059,0.432888143,0.502213589,0.387187156,0.701160919,0.672661887,0.123244976,0.378589905,0.833655191,0.06253438,0.066714988,0.081751823,0.186546954,0.281308168,0.199877064,0.096504666,0.147993285,0.409821566,0.386072824,1.267152276,0.27524033,0.366581514,0.149010471,0.266064483,0.23952325,0.037136218,0.328212244,0.21534959,0.176484858,0.279894897,0.020361737,0.246340855,0.046989625,0.198640415,0.115970789,0.012271889,0.063551777,0.418809384,0.856243706,0.944843271,0.624198076,1.081931109,0.242370114,0.22158371,0.616951033
GLT1D1,0.256892562,0.317003825,0.305777361,0.308092891,0.307654355,0.381594805,0.557917249,0.272624079,0.24213941,0.360102047,0.32563539,0.306633795,0.30514674,0.435817592,0.338717491,0.368245204,0.368514998,0.369914403,0.351532586,0.430311187,0.380930886,0.584296893,0.399002023,0.358099942,0.286171444,0.32622803,0.343002692,0.355385725,0.267289962,0.330263281,0.459326863,0.324298373,0.290033538,0.238094719,0.38759936,0.151780691,0.444726151,0.524664623,0.334598946,0.319836603,0.360291745,0.374464478,0.404683044,0.417896424,0.249311755,0.384642373,0.320994117,0.496451172,0.380053289,0.39138524,0.411561515,0.277191018,0.354378618,0.30829562,0.237276729,0.337540471,0.403155527,0.247045407,0.353231977,0.371780726,0.324984003,0.285252798,0.345208393,0.251114214,0.121729413,0.168252492,0.372177024,0.130607249,0.235796055,0.240319245,0.554157823,0.154934482,0.474894227,0.409620166,0.308031632,0.47447855,0.346122257,0.468732525,0.299763929,0.285670625,0.268065871,0.296764632,0.45387266,0.271669401,0.292747533,0.324321451,0.257351004,0.290388175,0.364637401,0.38457713,0.369289143,0.407800137,0.436961544,0.206125176,0.28743145,0.205503745
SHOX2,-0.212756066,-0.165403013,-0.170018925,-0.166990152,-0.180775697,-0.154191264,-0.215244107,-0.13830852,-0.197630547,-0.134600554,-0.137935137,-0.120194728,-0.134810702,-0.151779348,-0.118370768,-0.157021353,-0.18757247,-0.15282213,-0.166245466,-0.136175026,-0.153838698,-0.190661652,-0.154575416,-0.160521855,-0.10904126,-0.136953712,-0.173676147,-0.132286456,-0.118423327,-0.134602417,-0.189589172,-0.131407972,-0.144013575,-0.158768312,-0.148629191,-0.130493053,-0.191677963,-0.18295621,-0.158084405,-0.143144854,-0.142791707,-0.152516638,-0.178006713,-0.168444005,-0.142659147,-0.152679419,-0.145765915,-0.173833639,-0.139916559,-0.19540512,-0.172124965,-0.131107173,-0.17798049,-0.143923898,-0.172624792,-0.144060576,-0.176445498,-0.127861414,-0.160721854,-0.135385876,-0.148223368,-0.13168039,-0.138776536,-0.130990088,-0.143176207,-0.131662498,-0.18191472,-0.146852378,-0.194006486,-0.137679047,-0.207811943,-0.146947034,-0.161573143,-0.164580316,-0.126100448,-0.159420918,-0.175248864,-0.170692188,-0.117216862,-0.123668535,-0.114364004,-0.12877415,-0.160437017,-0.130344305,-0.141943014,-0.133834964,-0.11279473,-0.142931108,-0.156043541,-0.145616603,-0.154207532,-0.163378264,-0.161677997,-0.169957619,-0.132201778,-0.190735202
ALPK3,-0.199157483,-0.151163502,-0.155640466,-0.155518898,-0.168521179,-0.138389154,-0.211310111,-0.129860842,-0.183129172,-0.129424388,-0.131685637,-0.113225748,-0.133033545,-0.146945889,-0.10828647,-0.15219217,-0.175284576,-0.144888271,-0.155401947,-0.129953409,-0.14775576,-0.18234883,-0.151497974,-0.157071564,-0.097556826,-0.129794589,-0.166432117,-0.12650561,-0.113202381,-0.12774936,-0.180309863,-0.121514269,-0.13999462,-0.14583682,-0.137133749,-0.117753858,-0.185201745,-0.169917015,-0.153543925,-0.136029881,-0.129282702,-0.140459593,-0.160486751,-0.16211536,-0.13121938,-0.148297996,-0.140507047,-0.170143382,-0.134013052,-0.191433,-0.16417246,-0.120136945,-0.174485203,-0.128323508,-0.165725149,-0.134169987,-0.16537596,-0.118267341,-0.155252497,-0.12989364,-0.142600743,-0.116535704,-0.129700285,-0.124156835,-0.134867359,-0.122719484,-0.172865686,-0.139682879,-0.183484013,-0.131272297,-0.201676574,-0.131948692,-0.158318555,-0.155845595,-0.123899924,-0.152349529,-0.157435921,-0.166097519,-0.104785577,-0.116575759,-0.111092146,-0.122361472,-0.158106653,-0.121215929,-0.129624747,-0.120096245,-0.108200071,-0.128192357,-0.149618492,-0.140720795,-0.15074425,-0.160739265,-0.152029531,-0.162642127,-0.125707919,-0.183336549
