ID,X100_T1,X103_T1,X105_T1,X106_T1,X113_T1,X114_T1,X118_T1,X121_T1,X124_T1,X12_T1,X13_T1,X15_T1,X17_T1,X20_T1,X22_T1,X23_T1,X26_T1,X33_T1,X36_T1,X39_T1,X404_T1,X409_T1,X40_T1,X410_T1,X412_T1,X414_T1,X419_T1,X41_T1,X422_T1,X425_T1,X427_T1,X42_T1,X431_T1,X432_T1,X433_T1,X434_T1,X437_T1,X438_T1,X43_T1,X440_T1,X441_T1,X443_T1,X44_T1,X46_T1,X48_T1,X50_T1,X51_T1,X52_T1,X53_T1,X54_T1,X55_T1,X57_T1,X65_T1,X67_T1,X68_T1,X700_T1,X701_T1,X707_T1,X708_T1,X709_T1,X710_T1,X711_T1,X714_T1,X715_T1,X716_T1,X719_T1,X71_T1,X721_T1,X722_T1,X725_T1,X726_T1,X728_T1,X72_T1,X730_T1,X731_T1,X732_T1,X737_T1,X73_T1,X740_T1,X750_T1,X754_T1,X757_T1,X75_T1,X766_T1,X768_T1,X769_T1,X77_T1,X79_T1,X7_T1,X80_T1,X81_T1,X85_T1,X86_T1,X87_T1,X97_T1,X98_T1
hsa-let-7f-5p,6.424078061,6.444672656,6.428083051,6.445521846,6.435823088,6.479094169,6.471187713,6.476953313,6.478438005,6.343222291,6.417894879,6.416642337,6.452473667,6.43870324,6.465212191,6.468874574,6.445908277,6.443465373,6.473911478,6.469058236,6.47509406,6.414514932,6.467831422,6.480151602,6.445017202,6.477670547,6.418223978,6.423762846,6.452452623,6.476157001,6.463479825,6.479895698,6.477000595,6.433402684,6.39208006,6.467729895,6.432438811,6.365253517,6.44042037,6.423627538,6.415304083,6.430737196,6.471881683,6.473597845,6.468148381,6.475740747,6.4736013,6.456428003,6.462805158,6.476440738,6.435277656,6.43992898,6.451874331,6.169835932,6.309211505,6.379211495,6.437959988,6.459374677,6.448892626,6.405062257,6.402764989,6.405989287,6.285068425,6.401785081,6.326514375,6.365432818,6.38343533,6.455521151,6.457071064,6.414610806,6.35069991,6.428243848,6.448748138,6.455196583,6.453157133,6.393228297,6.459147618,6.435230855,6.480448132,6.456810123,6.459971183,6.471243661,6.422905089,6.459695942,6.460704869,6.469477733,6.445232794,6.452168845,6.461467174,6.429204446,6.433546251,6.464145871,6.429204301,6.467909336,6.459294271,6.468644484
hsa-miR-10a-5p,-0.153827432,-0.157518585,-0.166786608,-0.168376367,-0.166277629,-0.146257975,-0.119785967,-0.148194896,-0.140130847,-0.163185376,-0.172683818,-0.161867503,-0.159795921,-0.163945613,-0.134646834,-0.153457901,-0.139454831,-0.157680912,-0.140294099,-0.139358918,-0.136737182,-0.159852167,-0.144080058,-0.147755176,-0.170014482,-0.151376221,-0.168364815,-0.157390574,-0.166464636,-0.146447106,-0.149283753,-0.1470017,-0.145960997,-0.171249715,-0.166177475,-0.158172289,-0.160765111,-0.170414598,-0.139532358,-0.174184711,-0.158679386,-0.169375145,-0.120189272,-0.149511113,-0.151582826,-0.146914183,-0.156170614,-0.158574454,-0.156434641,-0.151391586,-0.169772923,-0.167146517,-0.15789518,-0.188493098,-0.189257609,-0.172223386,-0.173040704,-0.139478625,-0.157480921,-0.172036378,-0.159423101,-0.168251675,-0.187754381,-0.172346547,-0.181077181,-0.174083904,-0.174604905,-0.156866358,-0.156445031,-0.167867932,-0.184284834,-0.168771765,-0.161663163,-0.147165144,-0.161231173,-0.164677287,-0.152184211,-0.16098293,-0.152298907,-0.150933918,-0.156999933,-0.149559938,-0.162547649,-0.15574997,-0.134603692,-0.134125718,-0.166289617,-0.167787274,-0.163614312,-0.161271524,-0.154698611,-0.143738382,-0.164240831,-0.133407891,-0.155318865,-0.150837314
hsa-miR-10b-5p,-0.181842362,-0.177632184,-0.178605702,-0.176939055,-0.17722992,-0.158706902,-0.166263421,-0.158784544,-0.160154715,-0.189519723,-0.183550808,-0.178865777,-0.173414891,-0.17638634,-0.165079026,-0.166562978,-0.175966908,-0.173230822,-0.165390482,-0.168599702,-0.161526814,-0.181029492,-0.166229331,-0.157435575,-0.176295454,-0.160076167,-0.178193952,-0.181406177,-0.174964957,-0.161429404,-0.168409509,-0.15905911,-0.15951575,-0.178807001,-0.181264384,-0.167705961,-0.177079942,-0.192898084,-0.175339978,-0.182212176,-0.177651921,-0.176853743,-0.164782761,-0.16370349,-0.168220542,-0.163514617,-0.162941906,-0.17074385,-0.168105578,-0.161472102,-0.177110849,-0.17273086,-0.175930712,-0.201689425,-0.199470641,-0.182354213,-0.179544781,-0.172913625,-0.17362027,-0.182921245,-0.18803425,-0.186681534,-0.207813751,-0.188073609,-0.19739129,-0.18973059,-0.192013656,-0.171888233,-0.170009953,-0.180413339,-0.193989997,-0.181606426,-0.173685285,-0.172891089,-0.173624574,-0.184206075,-0.171324818,-0.179577401,-0.157578477,-0.169703064,-0.170669059,-0.163247477,-0.181678542,-0.171057093,-0.169781638,-0.168419594,-0.176559823,-0.173470214,-0.170258387,-0.183848398,-0.176906934,-0.169692916,-0.179621645,-0.168611493,-0.169805705,-0.166394932
hsa-miR-143-3p,-0.114606531,-0.102421409,-0.149488872,-0.143911544,-0.093574872,-0.135959693,-0.119393752,-0.142900073,-0.143863451,-0.015553432,-0.066911781,-0.093056498,-0.124905415,-0.095995552,-0.0767275,-0.093548976,-0.049970756,-0.093130163,-0.107653404,-0.121814447,-0.106174621,-0.068513027,-0.088942506,-0.119938689,-0.092159648,-0.114635414,-0.030195236,-0.075652728,-0.080516937,-0.128468347,-0.049993661,-0.114356639,-0.140233271,-0.109670295,-0.127774435,-0.1200376,-0.116707882,-0.038324123,0.042388888,-0.143412759,-0.044844174,-0.094589161,-0.134120571,-0.091881464,-0.114147966,-0.095735889,-0.14330516,0.051113588,-0.092320276,-0.145554691,-0.089055737,-0.118615917,-0.120644222,-0.0114062,-0.176503536,-0.055718878,-0.113687081,-0.135353527,-0.125202223,-0.037294914,-0.107318243,-0.116429101,-0.087548299,-0.09970512,-0.168519242,-0.098085711,-0.119402796,-0.122333313,-0.157678206,-0.136665252,-0.045876966,-0.107253909,-0.070484144,-0.108652945,-0.111871986,-0.038491267,-0.143418368,-0.113213032,-0.139214755,-0.10599913,-0.126771293,-0.136191421,-0.08511806,-0.13203253,-0.094033506,-0.098752219,-0.10964788,-0.134915368,-0.077634831,-0.094257631,-0.05935985,-0.100246999,-0.057717276,-0.129556441,-0.122234053,-0.148465726
hsa-miR-145-3p,-0.181842362,-0.177475658,-0.178728817,-0.176661046,-0.176548065,-0.158293317,-0.167243958,-0.161431956,-0.159960309,-0.188835714,-0.183104983,-0.178723532,-0.172960925,-0.175734683,-0.164097343,-0.166375762,-0.175698831,-0.172998039,-0.16508255,-0.168599702,-0.161657423,-0.181506459,-0.165875885,-0.157539805,-0.173081933,-0.160353456,-0.176817873,-0.18089134,-0.173075997,-0.161001339,-0.16769898,-0.158708894,-0.15951575,-0.179097666,-0.181120012,-0.167705961,-0.176792456,-0.192898084,-0.17546869,-0.181829916,-0.177651921,-0.177019934,-0.165282688,-0.163918526,-0.168220542,-0.163017369,-0.162264777,-0.172148011,-0.167044584,-0.161165704,-0.176193608,-0.171534215,-0.175425043,-0.20021352,-0.199470641,-0.181824112,-0.179073471,-0.173130736,-0.17362027,-0.18176679,-0.187801639,-0.186316586,-0.206996854,-0.18779866,-0.197279166,-0.190688551,-0.191269692,-0.171370237,-0.170009953,-0.180735016,-0.191979017,-0.180721277,-0.171524005,-0.172635364,-0.173024202,-0.183729182,-0.171546738,-0.178954992,-0.157119384,-0.169425161,-0.170036787,-0.163475349,-0.181330074,-0.170902302,-0.170380776,-0.16829258,-0.175937386,-0.173470214,-0.168850872,-0.183669216,-0.176458281,-0.169692916,-0.179012504,-0.168679062,-0.16996232,-0.166774386
hsa-miR-147b,-0.181842362,-0.177475658,-0.178482586,-0.176827852,-0.177442999,-0.158665544,-0.166263421,-0.161431956,-0.159804783,-0.189747726,-0.183439352,-0.17897246,-0.173285187,-0.176267857,-0.167042394,-0.166562978,-0.176181369,-0.173347214,-0.165390482,-0.168599702,-0.161526814,-0.181578004,-0.166229331,-0.157709179,-0.176149385,-0.160700068,-0.178193952,-0.181436461,-0.174964957,-0.161001339,-0.168217248,-0.158333664,-0.159412081,-0.179222237,-0.181480943,-0.167705961,-0.177151813,-0.192898084,-0.174928101,-0.182212176,-0.177651921,-0.177352316,-0.16438282,-0.163488454,-0.166140828,-0.163132118,-0.162264777,-0.172148011,-0.168105578,-0.161426143,-0.177110849,-0.17273086,-0.175762155,-0.201711129,-0.199910437,-0.182265863,-0.179136312,-0.171393853,-0.17362027,-0.183086168,-0.188383166,-0.185842154,-0.207450686,-0.187908639,-0.197559477,-0.19020957,-0.192162448,-0.172060898,-0.170009953,-0.180413339,-0.194077431,-0.180721277,-0.173144965,-0.173197959,-0.17358169,-0.184730658,-0.171269338,-0.1794996,-0.157348931,-0.169745819,-0.170398085,-0.163566498,-0.181817929,-0.171160287,-0.169781638,-0.168102059,-0.176559823,-0.173637359,-0.170349194,-0.183848398,-0.176906934,-0.168991442,-0.179545502,-0.168003369,-0.169766552,-0.166300068
hsa-miR-1827,-0.181842362,-0.17622345,-0.178297913,-0.175549009,-0.176249754,-0.158334675,-0.166067314,-0.16010825,-0.159299326,-0.188265706,-0.182324789,-0.177372204,-0.172571812,-0.175319992,-0.16606071,-0.165701787,-0.175109061,-0.172416081,-0.162927033,-0.168599702,-0.160664793,-0.180361738,-0.165286809,-0.156419328,-0.175565108,-0.15955625,-0.177491871,-0.181133616,-0.172131517,-0.161429404,-0.167640466,-0.15808351,-0.158790066,-0.179014619,-0.180614709,-0.167705961,-0.176792456,-0.192898084,-0.175339978,-0.181256526,-0.177651921,-0.176687552,-0.164349491,-0.163595972,-0.168220542,-0.162443621,-0.162264777,-0.172148011,-0.167650866,-0.160522266,-0.175276367,-0.17286382,-0.174076592,-0.200712723,-0.198542184,-0.181824112,-0.178382216,-0.172913625,-0.17362027,-0.18176679,-0.187336417,-0.185696175,-0.205998424,-0.186808845,-0.196438232,-0.19004991,-0.191120899,-0.170334246,-0.168776778,-0.180252501,-0.192678488,-0.178950979,-0.173009885,-0.172379639,-0.172252294,-0.183824561,-0.170492617,-0.179266197,-0.155742105,-0.168570075,-0.16964538,-0.162746157,-0.180877065,-0.170145545,-0.169781638,-0.166831915,-0.176248604,-0.172857347,-0.169683273,-0.184206761,-0.176121791,-0.168991442,-0.17891098,-0.167327676,-0.16910094,-0.165636024
hsa-miR-199b-5p,-0.181842362,-0.177945236,-0.17866726,-0.176661046,-0.176675913,-0.158624185,-0.167243958,-0.161431956,-0.160115834,-0.188949715,-0.183216439,-0.177656694,-0.172636664,-0.175793924,-0.16606071,-0.165926445,-0.176234984,-0.172741978,-0.165544447,-0.168599702,-0.161291717,-0.181506459,-0.166229331,-0.15759192,-0.173812279,-0.160665407,-0.176340458,-0.180527927,-0.174964957,-0.161429404,-0.167841086,-0.158959048,-0.15951575,-0.179056142,-0.181120012,-0.167705961,-0.176001869,-0.190087648,-0.175494433,-0.181447656,-0.177651921,-0.176853743,-0.165182703,-0.163918526,-0.168220542,-0.163285118,-0.161587648,-0.166531367,-0.165730972,-0.161395503,-0.175276367,-0.17273086,-0.175425043,-0.198889546,-0.199812705,-0.181647411,-0.178727843,-0.173347846,-0.17362027,-0.182426479,-0.188615777,-0.186353081,-0.206724555,-0.188348557,-0.197335228,-0.190369231,-0.192162448,-0.171715568,-0.170009953,-0.180091662,-0.193115658,-0.181163851,-0.172739725,-0.172737654,-0.173109969,-0.182560793,-0.171824138,-0.178954992,-0.156889838,-0.169382407,-0.170187328,-0.163505732,-0.181434614,-0.170902302,-0.170466367,-0.168483102,-0.176248604,-0.173637359,-0.166792571,-0.183490035,-0.175673138,-0.17039439,-0.177768841,-0.1688142,-0.169609937,-0.166394932
hsa-miR-202-3p,-0.181842362,-0.177710447,-0.178975049,-0.177105861,-0.176675913,-0.15878962,-0.167243958,-0.161431956,-0.160115834,-0.189177718,-0.183272167,-0.178865777,-0.173350039,-0.175556958,-0.167042394,-0.166600421,-0.175913292,-0.173230822,-0.165390482,-0.168599702,-0.161814154,-0.182102667,-0.166582777,-0.157826439,-0.176295454,-0.16076939,-0.178334368,-0.181709022,-0.172131517,-0.161429404,-0.168325917,-0.159184186,-0.159593502,-0.179097666,-0.181625315,-0.167705961,-0.177151813,-0.191492866,-0.176369673,-0.181829916,-0.177651921,-0.177518507,-0.165382674,-0.164348598,-0.168220542,-0.163591116,-0.162941906,-0.172148011,-0.168105578,-0.161548702,-0.177110849,-0.171268294,-0.175930712,-0.201494084,-0.198639916,-0.182442563,-0.179261995,-0.172913625,-0.17362027,-0.18325109,-0.188615777,-0.186645039,-0.207813751,-0.188348557,-0.197503415,-0.190528891,-0.19171607,-0.171888233,-0.170009953,-0.179448308,-0.193640261,-0.181163851,-0.173685285,-0.172839944,-0.17392476,-0.184754503,-0.171657698,-0.179343998,-0.157578477,-0.169489293,-0.170638951,-0.163657647,-0.181748235,-0.17128068,-0.170808731,-0.168546609,-0.176559823,-0.173581644,-0.170258387,-0.183669216,-0.17713126,-0.166887021,-0.179393217,-0.16888177,-0.170158088,-0.166489796
hsa-miR-21-5p,0.255190541,0.291867754,0.135338977,0.344217286,0.587171811,0.047217378,0.125152178,0.072863995,0.047277007,1.172684213,0.692774416,0.756714956,0.405715616,0.571301306,0.311037533,0.234040509,0.497442311,0.549141642,0.032917132,0.223226802,0.151465154,0.762983173,0.270158476,0.011482814,0.51388108,0.076936699,0.7467559,0.668134416,0.397390045,0.127514928,0.326176858,-0.00969232,0.111890335,0.543868818,0.917336873,0.175506238,0.632839991,1.028236208,0.554198457,0.605626239,0.770974842,0.651110191,0.202430296,0.158743,0.197809207,0.072104438,0.172237043,0.383899744,0.340666413,0.107331456,0.609881708,0.584213534,0.33159252,1.831868936,0.614542206,0.994912651,0.453141588,0.23807635,0.488093041,0.822774529,0.461531885,0.668171972,0.703026865,0.626434201,0.441213574,1.029114368,0.542724919,0.401532984,0.400949949,0.757114603,1.096009801,0.526070212,0.479966967,0.416606407,0.37575904,0.90451794,0.198005663,0.573926609,-0.018243732,0.415453915,0.335178937,0.217056448,0.65290231,0.298974759,0.352238541,0.132540925,0.425647665,0.34930452,0.344210984,0.465863842,0.627976534,0.29398134,0.636145235,0.119571542,0.362292037,0.238577449
